  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, bucket_cmp, bucket_swaps, bucket_time, radix_cmp, radix_swaps, radix_time
90,249,35,4,1714,0,7,4005,35,448,4094,23,61,1402,129,16,2747,557,28,0,0,44,89,0,10
91,251,35,9,1738,0,17,4095,35,32,4185,23,32,1414,130,13,2784,563,23,0,0,38,90,0,8
92,253,35,10,1756,0,17,4186,35,33,4277,23,33,1433,131,13,2812,567,23,0,0,40,91,0,8
93,257,36,9,1776,0,16,4278,36,33,4370,24,33,1464,134,13,2861,578,23,0,0,41,92,0,8
94,259,36,9,1800,0,15,4371,36,35,4464,24,34,1465,132,13,2905,588,23,0,0,42,93,0,9
95,261,36,9,1813,0,15,4465,36,50,4559,24,60,1470,131,36,2938,594,24,0,0,42,94,0,9
96,263,36,10,1830,0,16,4560,36,35,4655,24,35,1484,133,14,2989,605,25,0,0,71,95,0,9
97,265,36,10,1862,0,16,4656,36,37,4752,24,37,1481,131,13,3022,611,26,0,0,41,96,0,9
98,269,37,10,1884,0,31,4753,37,59,4850,25,37,1506,133,14,3064,620,27,0,0,81,97,0,10
99,273,38,11,1899,0,17,4851,38,39,4949,26,38,1521,132,9,3100,627,14,0,0,20,98,0,5
100,275,38,24,1923,0,10,4950,38,27,5049,26,19,1539,134,20,3147,637,27,0,0,56,99,0,5
